,Year,THACODE,TotalProduction,run_code
0,1985,100409,87.23,1
1,1985,553221,87.23000000000002,1
2,1986,100409,88.09,1
3,1986,553221,88.08999999999999,1
4,1987,100409,88.99000000000001,1
5,1987,553221,88.99000000000002,1
6,1988,100409,89.89000000000003,1
7,1988,553221,89.89000000000001,1
8,1989,100409,90.77999999999999,1
9,1989,553221,90.78,1
10,1990,100409,95.17999999999998,1
11,1990,553221,95.18,1
12,1991,100409,95.17999999999999,1
13,1991,553221,95.17999999999999,1
14,1992,100409,95.17999999999998,1
15,1992,553221,95.17999999999999,1
16,1993,100409,95.17999999999996,1
17,1993,553221,95.17999999999999,1
18,1994,100409,95.17999999999999,1
19,1994,553221,69.17999999999998,1
20,1995,100409,10.58,1
21,1995,553221,10.58,1
22,1996,100409,34.60000000000001,1
23,1996,553221,34.60000000000001,1
24,1997,100409,58.63000000000001,1
25,1997,553221,58.63000000000001,1
26,1998,100409,58.629999999999995,1
27,1998,553221,58.63,1
28,1999,100409,57.739999999999995,1
29,1999,553221,57.739999999999995,1
30,2000,100409,44.089999999999996,1
31,2000,553221,44.09000000000001,1
32,2001,100409,43.65,1
33,2001,553221,43.65,1
34,2002,100409,36.57,1
35,2002,553221,36.57,1
36,2003,100409,59.050000000000004,1
37,2003,553221,59.04999999999999,1
38,2004,100409,41.85999999999999,1
39,2004,553221,41.860000000000014,1
40,2005,100409,42.31,1
41,2005,553221,42.309999999999995,1
42,2006,100409,42.31000000000001,1
43,2006,553221,42.31,1
44,2007,100409,79.78,1
45,2007,553221,79.78,1
46,2008,100409,89.92999999999999,1
47,2008,553221,89.93,1
48,2009,100409,225.66000000000003,1
49,2009,553221,225.66000000000003,1
50,2010,100409,272.39000000000004,1
51,2010,553221,272.39000000000004,1
52,2011,100409,187.76,1
53,2011,553221,187.76,1
54,2012,100409,83.74000000000001,1
55,2012,553221,83.74000000000002,1
56,2013,100409,33.050000000000004,1
57,2013,553221,33.05,1
58,2014,100409,37.02,1
59,2014,553221,37.01999999999999,1
60,2015,100409,37.46,1
61,2015,553221,37.46,1
62,2016,100409,58.60999999999999,1
63,2016,553221,58.61,1
64,2017,100409,92.99000000000001,1
65,2017,553221,92.99000000000001,1
